VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,Total_amount,Payment_type,Trip_type 
2,2013/8/5 13:15,2013/8/5 13:16,N,1,0,0,0,0,1,0,2.5,0,0.5,0,0,,3,2,
2,2013/8/5 13:16,2013/8/5 13:18,N,1,0,0,0,0,1,0,3,0,0.5,0.3,0,,3.8,1,
2,2013/8/5 13:18,2013/8/5 13:18,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 13:18,2013/8/5 13:18,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 13:19,2013/8/5 13:23,N,1,0,0,0,0,1,0,4,0,0.5,0,0,,4.5,2,
2,2013/8/5 13:21,2013/8/5 13:21,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 13:26,2013/8/5 13:28,N,1,0,0,0,0,1,0,3.9,0,0,0,0,,3.9,2,
2,2013/8/5 13:28,2013/8/5 13:29,N,1,0,0,0,0,1,0,3.7,0,0,0,0,,3.7,2,
2,2013/8/5 13:30,2013/8/5 13:34,N,1,0,0,0,0,1,0,4.9,0,0,0,0,,4.9,2,
2,2013/8/5 13:36,2013/8/5 13:36,N,1,0,0,0,0,1,0,3.3,1.8,0,0,0,,5.1,2,
2,2013/8/5 13:37,2013/8/5 13:40,N,1,0,0,0,0,1,0,4.5,1.8,0,0,0,,6.3,2,
2,2013/8/5 13:47,2013/8/5 14:18,N,1,0,0,0,0,1,0,3.3,1.8,0,0,0,,5.1,2,
2,2013/8/5 13:47,2013/8/5 14:10,N,1,0,0,0,0,1,0,9.5,0,0,0,0,,9.5,2,
2,2013/8/5 13:57,2013/8/5 13:57,N,1,0,0,0,0,3,0,2.5,0,0.5,0,0,,3,2,
2,2013/8/5 13:59,2013/8/5 14:45,N,1,0,0,0,0,4,0,25,0,0.5,0,0,,25.5,2,
2,2013/8/5 14:11,2013/8/5 14:11,N,1,0,0,0,0,1,0,3.25,0,0.25,0,0,,3.5,2,
2,2013/8/5 14:11,2013/8/5 14:12,N,1,0,0,0,0,1,0,3.25,0,0.25,1.05,0,,4.55,1,
